model,memory_length,feature_pca_dim,nRMSE(%),nMAE(%),R2,device
LSTM,96,33,10.002780984218736,5.387775817092618,0.8918632180276145,cuda:0
LSTM,96,49,10.137179806426769,5.72028023698261,0.8889378129879064,cuda:0
LSTM,192,33,9.822194722602145,5.426834395291873,0.8958942040890139,cuda:0
LSTM,192,49,9.932461176277052,5.704079449601064,0.8935436475282477,cuda:0
RandomForest,96,33,9.850754237358732,4.828214250605096,0.8951252617272148,cpu
RandomForest,96,49,9.819484278230576,4.7190689466349145,0.8957900278226648,cpu
RandomForest,192,33,9.701269049586813,4.866764762191703,0.8984418156644624,cpu
RandomForest,192,49,9.727219691776217,4.78340854258905,0.897897757967125,cpu
Transformer,96,33,9.81998900295854,5.248412105380003,0.895779314693517,cuda:1
Transformer,96,49,9.818278425750208,5.196125653816637,0.8958156206408016,cuda:1
Transformer,192,33,10.063672475244722,5.665653520510143,0.8907124178947559,cuda:1
Transformer,192,49,9.8516067728256,5.367575579333845,0.8952697918407028,cuda:1
XGBoost,96,33,10.13139999896872,5.2816897773841935,0.889064423163769,cuda:0
XGBoost,96,49,10.01125474655835,5.075960661473704,0.8916799262969863,cuda:1
XGBoost,192,33,10.278491627333324,5.411380503320345,0.8859969153777943,cuda:1
XGBoost,192,49,10.1174392946556,5.22251029231962,0.8895415247493509,cuda:0
